	Lemme	Number of occurrence
0	maman	7089
1	papa	3235
2	bébé	1868
3	tout	1559
4	pour	1509
5	si	1288
6	maison	1240
7	eau	1237
8	voiture	1211
9	peu	1156
10	chat	1011
11	mets	758
12	doudou	756
13	main	738
14	livre	733
15	poisson	725
16	mai	707
17	lapin	702
18	chien	698
19	quatre	656
20	bateau	611
21	tête	567
22	caca	558
23	monsieur	553
24	lit	553
25	cheval	544
26	truc	519
27	rien	518
28	ballon	517
29	train	510
30	cochon	497
31	fille	493
32	gâteau	490
33	gros	477
34	pied	468
35	yeux	465
36	école	454
37	chaussure	439
38	bien	438
39	garçon	431
40	oiseau	430
41	bonhomme	428
42	envie	415
43	carte	415
44	joue	410
45	porte	402
46	peur	392
47	loup	387
48	enfant	387
49	pipi	380
50	fois	379
51	cadeau	377
52	nez	376
53	jeu	375
54	chocolat	367
55	fleur	362
56	an	357
57	ferme	347
58	côté	346
59	photo	333
60	couleur	333
61	canard	331
62	comment	328
63	chapeau	328
64	manger	327
65	boule	319
66	vache	319
67	histoire	316
68	lait	316
69	noir	316
70	nounours	313
71	avoir	313
72	pomme	313
73	plein	312
74	avion	312
75	heure	309
76	rose	305
77	souris	305
78	éléphant	305
79	bouche	299
80	tétine	293
81	table	293
82	camion	286
83	cheveu	286
84	marche	284
85	balle	279
86	poupée	279
87	mamie	277
88	trou	276
89	frère	275
90	bout	270
91	bobo	270
92	cuillère	267
93	orange	265
94	animal	249
95	musique	249
96	madame	243
97	boîte	243
98	sac	238
99	sept	237
100	arbre	237
101	chambre	237
102	soleil	236
103	poule	235
104	papillon	233
105	crocodile	233
106	pâte	231
107	lion	231
108	temps	229
109	tombe	228
110	puzzle	228
111	ours	227
112	pain	227
113	mouton	226
114	rond	224
115	dame	223
116	anniversaire	221
117	bras	220
118	oeuf	219
119	chaussette	219
120	grenouille	218
121	montre	217
122	bain	214
123	tour	214
124	chausson	214
125	doigt	213
126	dessin	213
127	place	211
128	clown	210
129	avant	210
130	jouet	210
131	queue	209
132	girafe	208
133	besoin	207
134	tortue	207
135	moto	204
136	crayon	203
137	terre	202
138	copain	200
139	carotte	200
140	oreille	199
141	bouton	198
142	feuille	198
143	chaise	198
144	singe	198
145	bruit	189
146	jour	188
147	pourquoi	187
148	coup	186
149	froid	186
150	vélo	180
151	poussin	179
152	pyjama	178
153	piscine	175
154	bonbon	174
155	lumière	174
156	caméra	173
157	coeur	171
158	fenêtre	171
159	feu	171
160	robe	169
161	verre	169
162	couteau	166
163	poubelle	166
164	château	163
165	culotte	161
166	page	161
167	laisse	161
168	pantalon	161
169	neige	160
170	toboggan	160
171	banane	160
172	touche	159
173	pirate	155
174	bêtise	155
175	mer	155
176	princesse	154
177	glace	154
178	sucre	154
179	classe	154
180	café	151
181	maîtresse	150
182	hippopotame	149
183	pique	149
184	serpent	149
185	bisou	148
186	dent	148
187	ami	147
188	reste	147
189	assiette	145
190	été	144
191	tigre	142
192	biberon	142
193	faim	141
194	soeur	140
195	dire	140
196	allée	139
197	roue	139
198	pot	139
199	ventre	135
200	mieux	135
201	colle	134
202	manège	133
203	sortir	132
204	chose	132
205	pièce	131
206	mariage	130
207	bois	130
208	tonton	130
209	renard	130
210	fraise	130
211	violet	129
212	morceau	129
213	m	128
214	nuit	128
215	personne	127
216	téléphone	127
217	escargot	126
218	papier	126
219	boire	126
220	monde	125
221	jus	123
222	mort	123
223	étoile	123
224	coin	122
225	son	122
226	malade	121
227	dodo	121
228	perroquet	118
229	micro	117
230	cuisine	117
231	manteau	117
232	copine	116
233	ciseau	116
234	derrière	116
235	patte	116
236	matin	115
237	envers	113
238	lego	113
239	chanson	113
240	fromage	113
241	couche	112
242	a	111
243	lunette	111
244	tatouage	109
245	parterre	109
246	tracteur	109
247	tomate	108
248	bulle	107
249	baleine	107
250	part	106
251	manque	106
252	vacance	106
253	hélicoptère	106
254	carton	105
255	grave	105
256	lettre	105
257	mot	105
258	casse	105
259	e	104
260	papi	104
261	sapin	104
262	ciel	104
263	peinture	103
264	aura	103
265	croissant	102
266	bouchon	102
267	sucette	101
268	hibou	101
269	sorcier	100
270	famille	99
271	écureuil	98
272	travail	98
273	route	97
274	gens	97
275	pompier	97
276	lis	96
277	cigarette	96
278	tape	96
279	mère	96
280	boudin	95
281	course	95
282	sou	95
283	casquette	95
284	dos	94
285	jambe	94
286	amour	93
287	fumée	93
288	bouge	93
289	coq	92
290	mur	92
291	nom	92
292	sable	92
293	bête	91
294	amoureux	90
295	dada	90
296	botte	90
297	fruit	89
298	passé	89
299	ski	88
300	mouche	88
301	lune	87
302	plage	87
303	dernier	87
304	fesse	87
305	super	86
306	docteur	86
307	clef	86
308	zoo	85
309	fourchette	85
310	clé	85
311	film	84
312	parapluie	84
313	jardin	84
314	serviette	84
315	hérisson	83
316	télé	83
317	chèvre	82
318	pose	82
319	père	82
320	requin	81
321	âne	81
322	poche	81
323	marron	80
324	c	79
325	étai	79
326	vrai	77
327	bouteille	77
328	accident	77
329	coquin	77
330	soif	76
331	poussette	76
332	langue	76
333	araignée	75
334	collier	75
335	pouce	75
336	tapis	75
337	bol	75
338	crotte	74
339	garage	74
340	coccinelle	74
341	prison	73
342	rein	73
343	dinosaure	73
344	abeille	73
345	genou	73
346	sens	72
347	papy	72
348	échelle	71
349	machine	71
350	mamy	70
351	i	70
352	court	70
353	bougie	70
354	mouchoir	70
355	paille	70
356	couronne	70
357	pull	70
358	but	69
359	habit	69
360	cou	69
361	savon	69
362	chenille	68
363	moment	68
364	cousin	67
365	dé	67
366	viande	67
367	panier	67
368	veste	66
369	lave	66
370	tasse	66
371	salade	66
372	couverture	66
373	canapé	66
374	vie	65
375	jambon	65
376	marionnette	65
377	coussin	65
378	pistolet	65
379	trente	64
380	dragon	64
381	guitare	64
382	perle	64
383	monstre	64
384	ogre	63
385	gris	63
386	panda	63
387	cabane	63
388	roi	62
389	cantine	62
390	nu	62
391	valise	62
392	brosse	62
393	mauve	61
394	pareil	61
395	bord	61
396	escalier	61
397	écoute	61
398	trésor	60
399	soir	60
400	médicament	60
401	fil	60
402	raquette	60
403	dauphin	60
404	douche	60
405	forme	60
406	o	59
407	thé	59
408	peau	59
409	barrière	59
410	yaourt	59
411	luge	58
412	pluie	58
413	fou	58
414	danse	57
415	noeud	57
416	rigolo	57
417	fête	57
418	pingouin	57
419	demain	57
420	herbe	57
421	air	57
422	onze	56
423	avance	56
424	premier	56
425	champignon	56
426	crème	56
427	zèbre	56
428	prêt	56
429	prince	55
430	t	55
431	bonnet	55
432	début	55
433	cent	54
434	beurre	54
435	galette	53
436	argent	53
437	auto	53
438	affaire	53
439	coucher	53
440	balançoire	53
441	câlin	53
442	devant	53
443	soupe	53
444	faux	52
445	façon	52
446	image	52
447	seau	52
448	moteur	52
449	cour	52
450	oeil	52
451	suite	52
452	nouveau	51
453	tableau	51
454	taille	51
455	écrit	51
456	pelle	51
457	montagne	51
458	toilette	51
459	kangourou	51
460	cocotte	51
461	cacao	50
462	lance	50
463	garde	50
464	compte	50
465	pierre	50
466	gant	50
467	toit	50
468	poire	50
469	tabouret	50
470	ton	50
471	cerise	50
472	deuxième	49
473	fauteuil	49
474	poulet	49
475	disque	49
476	lampe	49
477	exemple	48
478	scotch	48
479	police	48
480	poney	48
481	fantôme	48
482	haut	48
483	télévision	48
484	forêt	47
485	licorne	47
486	sel	47
487	épée	47
488	bâton	47
489	pantoufle	47
490	peluche	47
491	cirque	46
492	attaque	46
493	parrain	46
494	lézard	46
495	nuage	46
496	compote	46
497	minou	46
498	étage	46
499	idée	46
500	dimanche	46
501	cheminée	46
502	crabe	46
503	blanche	46
504	marché	46
505	aide	45
506	pinceau	45
507	parent	45
508	pont	45
509	cassette	45
510	bus	45
511	vent	45
512	citron	45
513	attrape	45
514	ordinateur	45
515	prénom	44
516	coco	44
517	cage	44
518	marraine	44
519	riz	44
520	mille	43
521	maillot	43
522	ficelle	43
523	magasin	43
524	baguette	43
525	tiroir	43
526	peigne	43
527	légume	43
528	salle	43
529	crèche	42
530	bouée	42
531	triangle	42
532	demande	42
533	wagon	42
534	fée	42
535	biscuit	42
536	coffre	42
537	coupé	42
538	gauche	42
539	tartine	42
540	ru	42
541	bloc	41
542	amoureuse	41
543	momie	41
544	ver	41
545	stylo	41
546	paquet	41
547	ensemble	41
548	sandale	41
549	basket	40
550	foot	40
551	minute	40
552	problème	40
553	mousse	40
554	fort	40
555	ail	40
556	balai	40
557	change	39
558	robinet	39
559	trompette	39
560	toucher	39
561	pioche	39
562	galop	39
563	moulin	39
564	pince	39
565	chéri	38
566	jupe	38
567	hôpital	38
568	n	38
569	pêche	38
570	trottinette	38
571	endroit	38
572	sieste	38
573	caillou	38
574	souffle	38
575	fourmi	38
576	chique	37
577	géant	37
578	pizza	37
579	goûter	37
580	chemin	37
581	b	37
582	chevalier	37
583	spaghetti	37
584	fusée	37
585	farine	37
586	marc	37
587	cube	37
588	céréale	36
589	raté	36
590	baignoire	36
591	l	36
592	corne	36
593	samedi	36
594	vieux	36
595	nouvelle	36
596	goutte	36
597	plume	36
598	sage	36
599	bureau	36
600	bas	36
601	confiture	36
602	voleur	35
603	policier	35
604	fermier	35
605	hamster	35
606	pansement	35
607	espèce	35
608	aiguille	35
609	quarante	35
610	volant	35
611	cul	34
612	rigole	34
613	ligne	34
614	d	34
615	bille	34
616	journée	34
617	cahier	34
618	vitre	34
619	cinéma	34
620	raisin	34
621	saucisson	34
622	milieu	34
623	coca	33
624	automne	33
625	vendredi	33
626	scratch	33
627	prout	33
628	zéro	33
629	spectacle	33
630	mardi	33
631	plat	33
632	chameau	33
633	parc	33
634	sommeil	33
635	coquillage	33
636	roulette	33
637	dégât	32
638	frite	32
639	four	32
640	cloche	32
641	numéro	32
