	Lemme	Number of occurrence
0	pas	13586.046638089425
1	maman	2146.4590502319093
2	ne	2006.4159124760185
3	peu	1872.3320571778254
4	tout	1654.0733371646554
5	deux	1583.679313133104
6	papa	1404.5283842485737
7	pour	1331.1547189881735
8	bien	1250.3319506556513
9	si	1206.3822425301325
10	antoine	1127.049294812035
11	oui	1120.7175572007313
12	comment	1114.0133644358216
13	adrien	1071.9259320783333
14	mets	966.1486684542032
15	mai	938.5869870873523
16	théophile	869.6827836702253
17	eau	797.0540287170372
18	bébé	790.7222911057337
19	livre	777.3139055759143
20	main	773.2168988862473
21	montre	756.0839618203671
22	voiture	734.4815629112138
23	trois	704.3126954691204
24	heure	691.6492202465132
25	histoire	659.2456218827831
26	maison	645.0923260457517
27	chose=thing	598.9078869985962
28	rien	593.6935148481109
29	julie	585.1270463151708
30	couleur	575.4432123214124
31	madeleine	564.2695577132296
32	fois	544.9018897257129
33	pied	541.9222484968642
34	marie	512.870746515589
35	tête	503.18691252183055
36	bonhomme	479.3497826910406
37	école	470.0384038508883
38	joue	465.1964868540091
39	côté	449.92582555615934
40	truc	447.69109463452276
41	chat	444.71145340567404
42	ulysse	427.9509714933999
43	avoir	400.76174528015514
44	lit	397.0371937440943
45	laisse	396.29228343688203
46	poisson	386.2359942895176
47	écoute	385.1186288286993
48	nanou	382.13898759985057
49	lapin	381.39407729263837
50	quatre	381.0216221390323
51	chien	379.90425667821404
52	bouche	378.04198091018355
53	train	376.17970514215307
54	marche	373.20006391330435
55	max	369.47551237724343
56	nez	366.1234159947886
57	table	365.3785056875764
58	plein	365.0060505339703
59	gros	359.7916783834851
60	jeu	354.5773062329998
61	temps	353.0874856185754
62	monsieur	348.6180237753023
63	fille	346.3832928536657
64	bain	335.20963824548295
65	mieux	334.46472793827076
66	enfant	332.9749073238464
67	anaé	331.85754186302813
68	doigt	327.7605351733611
69	manger	324.0359836373002
70	matin	316.9593357187844
71	léa	312.86232902911746
72	garçon	310.6275981074809
73	super	309.8826878002687
74	bout	309.5102326466626
75	coeur	309.5102326466626
76	reste	304.6683156497834
77	mar	300.19885380651033
78	bateau	296.47430227044936
79	cheval	294.61202650241887
80	yeux	293.86711619520673
81	chose	293.49466104160064
82	peur	290.5150198127519
83	chéri	289.0251991983275
84	tour	287.53537858390314
85	jour	287.16292343029704
86	cochon	284.5557373550544
87	animal	282.32100643341784
88	philippe	277.47908943653863
89	bruit	277.47908943653863
90	bisou	273.0096275932656
91	léonard	272.2647172860534
92	chaussure	271.8922621324473
93	chambre	270.77489667162905
94	doudou	268.91262090359857
95	cinq	265.56052452114375
96	gâteau	263.69824875311326
97	carte	262.95333844590107
98	caméra	258.483876602628
99	ballon	257.36651114180967
100	porte	251.77968383771832
101	boîte	251.0347735305061
102	pourquoi	250.66231837690006
103	raison	249.91740806968784
104	fleur	247.31022199444521
105	morceau	243.58567045838427
106	coup	242.8407601511721
107	ferme	239.86111892232336
108	envie	236.50902253986854
109	ana	231.66710554298933
110	oreille	230.17728492856494
111	demande	230.17728492856494
112	nat	229.80482977495888
113	sac	229.80482977495888
114	hier	226.82518854611016
115	oiseau	226.08027823889796
116	avant	225.70782308529186
117	cheveu	225.70782308529186
118	dire	225.70782308529186
119	an	224.96291277807967
